caller_file	line	status	called	kind	invocation
README.md	129	active	bincount.py	python_script	python bincount.py AlignedReads.bam -x ref_genome -w bin_size -o out_fname
README.md	156	active	coverage.py	python_script	python coverage.py AlignedReads.bam -x ref_genome --chr chromosome -o out_fname --skip
README.md	180	active	NCPpeak.py	python_script	python NCPpeak.py AlignedReads.bam -x ref_genome --chr chromosome -o out_fname --skip
README.md	205	active	NCPcov.py	python_script	python NCPcov.py NCPpeakFile_peak.gtab CoverageFile_cov.gtab --chr chromosome -o out_fname
README.md	227	active	bindata.py	python_script	python bindata.py CoverageFile_cov.gtab -x ref_genome --Bsize bin_size --Bstep Bin_step --chr chromosome -o out_fname
README.md	252	active	NCPnum.py	python_script	python NCPnum.py BincountFile_bin.gtab | NCPcoverageFile_Ncov.gtab | BinnedDataFile_Bdata.gtab -t TitrationFile.csv --tnum TitrationNumber --chr chromosome -o out_fname
README.md	274	active	NCPscore.py	python_script	python NCPscore.py BincountFile_bin.gtab | NCPcoverageFile_Ncov.gtab | BinnedDataFile_Bdata.gtab -t TitrationFile.csv --tnum TitrationNumber --chr chromosome -o out_fname
README.md	298	active	logistic_fit.py	python_script	python logistic_fit.py NCPnumFile_num.gtab -t TitrationFile.csv --tnum TitrationNumber -m FittingModel -o out_fname
data/MouseEpigeneticData/E14_HistoneChipseq/batch_chromHMM_input.py	102	active			subprocess.call(cmd)
data/MouseEpigeneticData/TFChipseq/batch_fastq_dump.py	48	active			subprocess.call("fastq-dump --gzip --split-3" + fastq_fname, shell=True)
data/MouseEpigeneticData/TFChipseq/batch_fastq_dump.py	63	active			subprocess.call(["sbatch", "/home/spark159/submit_scripts/bowtie-submit_single", "-f", fastq_fname+'.fastq', "-x", refname, "-o", fastq_fname])
data/MouseEpigeneticData/TFChipseq/batch_fastq_dump.py	66	active			subprocess.call(["sbatch", "/home/spark159/submit_scripts/bowtie-submit", "-f", fastq_fname+'_1.fastq', "-g", fastq_fname+'_2.fastq', "-x", refname, "-o", fastq_fname])
data/MouseEpigeneticData/TFChipseq/batch_fastq_dump.py	94	commented			#subprocess.call(merge_cmd, shell=True)
data/MouseEpigeneticData/TFChipseq/batch_fastq_dump.py	95	commented			#subprocess.call(["sbatch", "/home/spark159/submit_scripts/samtools-submit", '-o', data_output, '-f', ','.join(data_input)])
data/MouseEpigeneticData/TFChipseq/batch_fastq_dump.py	105	commented			#subprocess.call(merge_cmd, shell=True)
